WIN | You | ELIZA | vs | bunnyofdoom826 | ASUKA | 3-0 | 2018_01_17_21.04
WIN | You | ELIZA | vs | Monstroso | HEIHACHI | 3-1 | 2018_03_07_21.19
WIN | You | ELIZA | vs | NOT_LOGGED_IN | HEIHACHI | 3-1 | 2018_03_07_21.28
LOSS | You | ELIZA | vs | NOT_LOGGED_IN | HEIHACHI | 1-3 | 2018_03_07_21.31
LOSS | You | ELIZA | vs | NOT_LOGGED_IN | HEIHACHI | 2-3 | 2018_03_07_21.37
WIN | You | ELIZA | vs | NOT_LOGGED_IN | HEIHACHI | 3-2 | 2018_03_07_21.42
WIN | You | ELIZA | vs | NOT_LOGGED_IN | HEIHACHI | 3-1 | 2018_03_07_21.48
WIN | You | ELIZA | vs | NOT_LOGGED_IN | HEIHACHI | 3-1 | 2018_03_07_21.52
WIN | You | ELIZA | vs | NOT_LOGGED_IN | HEIHACHI | 3-2 | 2018_03_07_21.58
LOSS | You | ELIZA | vs | NOT_LOGGED_IN | HEIHACHI | 2-3 | 2018_03_07_22.02
WIN | You | ELIZA | vs | NOT_LOGGED_IN | HEIHACHI | 3-0 | 2018_03_07_22.06
LOSS | You | ELIZA | vs | NOT_LOGGED_IN | HEIHACHI | 2-3 | 2018_03_07_22.11
WIN | You | ELIZA | vs | NOT_LOGGED_IN | KATARINA | 3-0 | 2018_05_02_21.49
LOSS | You | ELIZA | vs | NOT_LOGGED_IN | HEIHACHI | 2-3 | 2018_05_02_21.57
WIN | You | NINA | vs | paintrain360 | DRAGUNOV | 3-1 | 2018_06_01_20.33
WIN | You | NINA | vs | paintrain360 | DRAGUNOV | 3-2 | 2018_06_01_20.38
WIN | You | ELIZA | vs | BADMAN VINNY | JIN | 3-0 | 2018_06_01_20.51
LOSS | You | NINA | vs | Friend? | CLAUDIO | 2-3 | 2018_09_04_22.36
LOSS | You | NINA | vs | Friend? | CLAUDIO | 2-3 | 2018_09_04_22.40
WIN | You | NINA | vs | Friend? | CLAUDIO | 3-2 | 2018_09_04_22.43
WIN | You | NINA | vs | Friend? | CLAUDIO | 3-2 | 2018_09_04_22.47
LOSS | You | NINA | vs | Friend? | CLAUDIO | 0-3 | 2018_09_04_22.49
WIN | You | NINA | vs | WHATZIT TOOYA | DRAGUNOV | 3-2 | 2018_09_04_22.57
LOSS | You | NINA | vs | WHATZIT TOOYA | DRAGUNOV | 2-3 | 2018_09_04_23.00
WIN | You | NINA | vs | WHATZIT TOOYA | DRAGUNOV | 3-0 | 2018_09_04_23.03
LOSS | You | NINA | vs | yung gandhi | UNKNOWN | 1-3 | 2018_09_04_23.07
WIN | You | NINA | vs | yung gandhi | UNKNOWN | 3-0 | 2018_09_04_23.10
LOSS | You | NINA | vs | yung gandhi | UNKNOWN | 1-3 | 2018_09_04_23.12
LOSS | You | NINA | vs | yung gandhi | UNKNOWN | 1-3 | 2018_09_04_23.16
LOSS | You | NINA | vs | yung gandhi | UNKNOWN | 1-3 | 2018_09_04_23.19
LOSS | You | NINA | vs | yung gandhi | UNKNOWN | 0-3 | 2018_09_04_23.21
LOSS | You | NINA | vs | yung gandhi | UNKNOWN | 0-3 | 2018_09_04_23.23
WIN | You | NINA | vs | WHATZIT TOOYA | DRAGUNOV | 3-1 | 2018_09_04_23.36
WIN | You | NINA | vs | SpringTrap | HWOARANG | 3-1 | 2018_09_04_23.42
LOSS | You | NINA | vs | Two Cups | STEVE | 2-3 | 2018_09_04_23.48
LOSS | You | NINA | vs | yung gandhi | UNKNOWN | 0-3 | 2018_09_04_23.51
WIN | You | NINA | vs | Two Cups | STEVE | 3-0 | 2018_09_04_23.56
LOSS | You | NINA | vs | AgentAZN | JOSIE | 2-3 | 2018_09_05_00.00
WIN | You | NINA | vs | AgentAZN | JOSIE | 3-0 | 2018_09_05_00.02
LOSS | You | NINA | vs | AgentAZN | JOSIE | 1-3 | 2018_09_05_00.05
WIN | You | NINA | vs | AgentAZN | JOSIE | 3-1 | 2018_09_05_00.08
WIN | You | NINA | vs | AgentAZN | JOSIE | 3-2 | 2018_09_05_00.11
WIN | You | NINA | vs | AgentAZN | JOSIE | 3-2 | 2018_09_05_00.15
WIN | You | NINA | vs | AgentAZN | JOSIE | 3-2 | 2018_09_05_00.18
WIN | You | NINA | vs | AgentAZN | JOSIE | 3-2 | 2018_09_05_00.21
LOSS | You | NINA | vs | AgentAZN | JOSIE | 2-3 | 2018_09_05_00.25
WIN | You | NINA | vs | AgentAZN | JOSIE | 3-2 | 2018_09_05_00.28
LOSS | You | NINA | vs | AgentAZN | JOSIE | 1-3 | 2018_09_05_00.30
WIN | You | NINA | vs | AgentAZN | JOSIE | 3-2 | 2018_09_05_00.33
WIN | You | NINA | vs | AgentAZN | JOSIE | 3-1 | 2018_09_05_00.36
WIN | You | NINA | vs | AgentAZN | JOSIE | 3-2 | 2018_09_05_00.39
WIN | You | NINA | vs | AgentAZN | JOSIE | 3-1 | 2018_09_05_00.41
